id,name,url,hasMenu,phone,address,city,state,country,lat,lon,categories,checkinsCount,usersCount,tipCount
4bb3b48a42959c74e253222c,"Dippin Dots",,0,,"5475 E Carson St","Long Beach","CA","United States","33.68812861666666691462523886","-118.349983183333336000941926613",4bf58dd8d48988d1c9941735,0,0,0
4dfa7485aeb785aedbf1cda7,"Beachwood BBQ & Brewing",http://beachwoodbbq.com,1,(562) 436-4020,"210 E 3rd St","Long Beach","CA","United States","33.7699860801013329592024092562","-118.191028114998999853924033232",50327c8591d4c4b30a586d5d,10768,4088,118
4b48af0ef964a520c15226e3,"Renaissance Long Beach Hotel",http://www.renhotels.com/,0,(562) 437-5900,"111 E Ocean Blvd","Long Beach","CA","United States","33.7674822277212811627578048501","-118.1916904449462890625",4bf58dd8d48988d1fa931735,5551,2493,26
4bf763a45317a593d119fe7e,"Yard House",http://www.yardhouse.com,1,(562) 628-0455,"401 Shoreline Village Dr","Long Beach","CA","United States","33.7614617699999968181145959534","-118.190177700000006666414265055",4bf58dd8d48988d14e941735,15067,9456,117
51437cafebca5cf063767bca,"The Federal Bar",http://thefederalbar.com,1,(562) 435-2000,"102 Pine Ave","Long Beach","CA","United States","33.7682782342447964651910297107","-118.19233417510986328125",4bf58dd8d48988d116941735,3740,2254,55
4ab53694f964a520497320e3,"Rock Bottom Restaurant & Brewery",http://rockbottom.com,0,(562) 308-2255,"1 Pine Ave","Long Beach","CA","United States","33.7672307491244794164231279865","-118.192484767305842296991613694",50327c8591d4c4b30a586d5d,7586,4572,80
54415abf498e91ee7ccbacc1,"Starbucks",http://www.starbucks.com,0,(562) 495-9527,"421 West Broadway","Long Beach","CA","United States","33.7695580000000035170160117559","-118.197715999999999780811776873",4bf58dd8d48988d1e0931735,537,245,5
4c1d09e4fcf8c9b6260cab0b,"7-Eleven",http://www.7-eleven.com,0,(562) 951-5989,"805 E Ocean Blvd","Long Beach","CA","United States","33.7668480000000030827322916593","-118.182536999999996396581991576",4d954b0ea243a5684a65b473,1513,461,5
52cdd60f11d214b303b7e494,"Northgate Gonzalez Markets",http://www.northgatemarkets.com,0,(562) 438-1064,"2040 E 10th St","Long Beach","CA","United States","33.7784784145567229529660835396","-118.167062995603401986954850145",4bf58dd8d48988d118951735,248,67,2
4bea4268b3352d7f1e0855d2,"Congregation Ale House",http://congregationalehouse.com,1,(562) 434-2337,"201 E Broadway","Long Beach","CA","United States","33.7693777006957560615774127655","-118.191125225534833020901714917",4bf58dd8d48988d117941735,12449,5339,109
4aada260f964a520156120e3,"Parkers' Lighthouse",http://www.parkerslighthouse.com,1,(562) 432-6500,"435 Shoreline Village Dr","Long Beach","CA","United States","33.7600303310231026898691197857","-118.191999217901496876947931014",4bf58dd8d48988d1ce941735,4537,3287,46
57fd4580498e4cdc9d94d53e,"Starbucks",,0,(562) 335-1122,"707 E Ocean Blvd","Long Beach","CA","United States","33.7664260000000027162059268449","-118.183846000000002618435246404",4bf58dd8d48988d1e0931735,120,55,1
